,Dataset,exp_num,exp_name,exp_type,Spearmans Correlation
0,ferretti_location,exp1.1_1.2,lemma_tuple,numerical,0.6172579748134630
1,ferretti_location,exp1.1_1.2,lemma_tuple,categorical,0.6195733571376130
2,ferretti_instrument,exp1.1_1.2,lemma_tuple,numerical,0.728687050766229
3,ferretti_instrument,exp1.1_1.2,lemma_tuple,categorical,0.7437660284210040
4,pado_plausibility_pb,exp1.1_1.2,lemma_tuple,numerical,0.5573667456986880
5,pado_plausibility_pb,exp1.1_1.2,lemma_tuple,categorical,0.5410476112429430
6,mcrae_agent_patient_more,exp1.1_1.2,lemma_tuple,numerical,0.5001037420786520
7,mcrae_agent_patient_more,exp1.1_1.2,lemma_tuple,categorical,0.4801217266111700
8,ferretti_location,exp2.1_2.2,gen_sentences,numerical,0.4318248036320560
9,ferretti_location,exp2.1_2.2,gen_sentences,categorical,0.5196516145806410
10,ferretti_instrument,exp2.1_2.2,gen_sentences,numerical,0.6302592956965310
11,ferretti_instrument,exp2.1_2.2,gen_sentences,categorical,0.6761234074871560
12,pado_plausibility_pb,exp2.1_2.2,gen_sentences,numerical,0.5240135721589530
13,pado_plausibility_pb,exp2.1_2.2,gen_sentences,categorical,0.5380644282568240
14,mcrae_agent_patient_more,exp2.1_2.2,gen_sentences,numerical,0.4836633999723010
15,mcrae_agent_patient_more,exp2.1_2.2,gen_sentences,categorical,0.5121154680278840
16,ferretti_location,exp3.1.1_3.1.2,lemma_tuple_reasoning,numerical,0.7683166423834250
17,ferretti_location,exp3.1.1_3.1.2,lemma_tuple_reasoning,categorical,0.7713771683104400
18,ferretti_instrument,exp3.1.1_3.1.2,lemma_tuple_reasoning,numerical,0.6711853919507670
19,ferretti_instrument,exp3.1.1_3.1.2,lemma_tuple_reasoning,categorical,0.6772360153178300
20,pado_plausibility_pb,exp3.1.1_3.1.2,lemma_tuple_reasoning,numerical,0.27548142224435700
21,pado_plausibility_pb,exp3.1.1_3.1.2,lemma_tuple_reasoning,categorical,0.2801442109277080
22,mcrae_agent_patient_more,exp3.1.1_3.1.2,lemma_tuple_reasoning,numerical,0.33173977008217500
23,mcrae_agent_patient_more,exp3.1.1_3.1.2,lemma_tuple_reasoning,categorical,0.3645926921820110
24,ferretti_location,exp3.2.1_3.2.2,gen_sentences_reasoning,numerical,0.5278632563701650
25,ferretti_location,exp3.2.1_3.2.2,gen_sentences_reasoning,categorical,0.5707208087053150
26,ferretti_instrument,exp3.2.1_3.2.2,gen_sentences_reasoning,numerical,0.6621408713048240
27,ferretti_instrument,exp3.2.1_3.2.2,gen_sentences_reasoning,categorical,0.6840325168937640
28,pado_plausibility_pb,exp3.2.1_3.2.2,gen_sentences_reasoning,numerical,0.5402587708614250
29,pado_plausibility_pb,exp3.2.1_3.2.2,gen_sentences_reasoning,categorical,0.5295423352476940
30,mcrae_agent_patient_more,exp3.2.1_3.2.2,gen_sentences_reasoning,numerical,0.42332594212334200
31,mcrae_agent_patient_more,exp3.2.1_3.2.2,gen_sentences_reasoning,categorical,0.4463030354568250